Date ID,Crash ID,Year,Month,Day of week,Dayweek,Time,Christmas Period,Easter Period
date1,20235016,2023,9,Weekday,Wednesday,17:10:00,No,No
date2,20235016,2023,9,Weekday,Wednesday,17:10:00,No,No
date3,20235016,2023,9,Weekday,Wednesday,17:10:00,No,No
date4,20231205,2023,9,Weekend,Saturday,00:01:00,No,No
date5,20233054,2023,9,Weekend,Saturday,23:00:00,No,No
date6,20237013,2023,9,Weekend,Friday,,No,No
date7,20237013,2023,9,Weekend,Friday,,No,No
date8,20237013,2023,9,Weekend,Friday,,No,No
date9,20237013,2023,9,Weekend,Friday,,No,No
date10,20237013,2023,9,Weekend,Friday,,No,No
date11,20237013,2023,9,Weekend,Friday,,No,No
date12,20237008,2023,9,Weekend,Saturday,,No,No
date13,20237008,2023,9,Weekend,Saturday,,No,No
date14,20232031,2023,9,Weekend,Saturday,23:39:00,No,No
date15,20232012,2023,9,Weekend,Sunday,01:22:00,No,No
date16,20231022,2023,9,Weekend,Sunday,19:30:00,No,No
date17,20231019,2023,9,Weekend,Sunday,03:03:00,No,No
date18,20232179,2023,9,Weekend,Saturday,00:44:00,No,No
date19,20232092,2023,9,Weekend,Saturday,20:30:00,No,No
date20,20233094,2023,9,Weekend,Sunday,18:00:00,No,No
date21,20233071,2023,9,Weekend,Saturday,05:00:00,No,No
date22,20231060,2023,9,Weekend,Sunday,05:30:00,No,No
date23,20232044,2023,9,Weekend,Saturday,13:58:00,No,No
date24,20231076,2023,9,Weekend,Saturday,15:30:00,No,No
date25,20233181,2023,9,Weekend,Saturday,17:00:00,No,No
date26,20232174,2023,9,Weekend,Saturday,02:40:00,No,No
date27,20231088,2023,9,Weekend,Saturday,16:08:00,No,No
date28,20232050,2023,9,Weekend,Saturday,17:05:00,No,No
date29,20232107,2023,9,Weekend,Sunday,09:53:00,No,No
date30,20237001,2023,9,Weekend,Monday,,No,No
date31,20231104,2023,9,Weekend,Friday,21:20:00,No,No
date32,20231104,2023,9,Weekend,Friday,21:20:00,No,No
date33,20233084,2023,9,Weekend,Saturday,09:00:00,No,No
date34,20231157,2023,9,Weekend,Saturday,10:00:00,No,No
date35,20235050,2023,9,Weekend,Saturday,07:31:00,No,No
date36,20235050,2023,9,Weekend,Saturday,07:31:00,No,No
date37,20235062,2023,9,Weekend,Sunday,11:44:00,No,No
date38,20232190,2023,9,Weekday,Wednesday,15:05:00,No,No
date39,20235021,2023,9,Weekend,Saturday,03:31:00,No,No
date40,20233075,2023,9,Weekend,Saturday,20:00:00,No,No
date41,20231232,2023,9,Weekend,Saturday,00:50:00,No,No
date42,20232135,2023,9,Weekend,Sunday,18:40:00,No,No
date43,20232135,2023,9,Weekend,Sunday,18:40:00,No,No
date44,20232122,2023,9,Weekday,Monday,13:00:00,No,No
date45,20232093,2023,9,Weekday,Friday,11:00:00,No,No
date46,20231142,2023,9,Weekday,Tuesday,11:00:00,No,No
date47,20233063,2023,9,Weekday,Friday,07:00:00,No,No
date48,20233070,2023,9,Weekday,Wednesday,17:00:00,No,No
date49,20233200,2023,9,Weekday,Wednesday,13:00:00,No,No
date50,20231047,2023,9,Weekend,Friday,20:15:00,No,No
date51,20231047,2023,9,Weekend,Friday,20:15:00,No,No
date52,20235018,2023,9,Weekend,Sunday,21:22:00,No,No
date53,20235018,2023,9,Weekend,Sunday,21:22:00,No,No
date54,20233187,2023,9,Weekend,Sunday,04:00:00,No,No
date55,20233061,2023,9,Weekend,Saturday,04:00:00,No,No
date56,20235020,2023,9,Weekend,Friday,,No,No
date57,20233009,2023,9,Weekday,Friday,11:00:00,No,No
date58,20231198,2023,9,Weekday,Tuesday,16:00:00,No,No
date59,20233203,2023,9,Weekday,Friday,12:00:00,No,No
date60,20234084,2023,9,Weekday,Monday,15:20:00,No,No
date61,20232105,2023,9,Weekday,Tuesday,18:35:00,No,No
date62,20232129,2023,9,Weekday,Wednesday,15:10:00,No,No
date63,20232025,2023,9,Weekday,Thursday,18:15:00,No,No
date64,20233122,2023,9,Weekday,Monday,15:00:00,No,No
date65,20233135,2023,9,Weekday,Friday,06:00:00,No,No
date66,20233081,2023,9,Weekday,Tuesday,21:00:00,No,No
date67,20233177,2023,9,Weekday,Monday,08:00:00,No,No
date68,20231120,2023,9,Weekday,Thursday,02:15:00,No,No
date69,20233056,2023,9,Weekday,Friday,12:00:00,No,No
date70,20234011,2023,9,Weekday,Thursday,00:27:00,No,No
date71,20233052,2023,9,Weekday,Monday,18:00:00,No,No
date72,20237002,2023,9,Weekday,Thursday,,No,No
date73,20235039,2023,9,Weekday,Tuesday,21:39:00,No,No
date74,20231227,2023,9,Weekday,Wednesday,23:10:00,No,No
date75,20233175,2023,9,Weekday,Thursday,19:00:00,No,No
date76,20233175,2023,9,Weekday,Thursday,19:00:00,No,No
date77,20232091,2023,9,Weekday,Thursday,19:13:00,No,No
date78,20231216,2023,9,Weekend,Saturday,01:18:00,No,No
date79,20232182,2023,9,Weekday,Wednesday,23:30:00,No,No
date80,20231239,2023,9,Weekday,Wednesday,08:13:00,No,No
date81,20231071,2023,9,Weekday,Friday,16:55:00,No,No
date82,20234068,2023,9,Weekday,Tuesday,18:01:00,No,No
date83,20231145,2023,9,Weekday,Tuesday,19:40:00,No,No
date84,20231145,2023,9,Weekday,Tuesday,19:40:00,No,No
date85,20231027,2023,9,Weekend,Saturday,17:00:00,No,No
date86,20232115,2023,9,Weekend,Saturday,10:00:00,No,No
date87,20232090,2023,9,Weekday,Friday,14:10:00,No,No
date88,20232008,2023,9,Weekend,Sunday,10:10:00,No,No
date89,20234027,2023,9,Weekend,Saturday,17:00:00,No,No
date90,20234008,2023,9,Weekend,Saturday,14:24:00,No,No
date91,20235017,2023,9,Weekday,Wednesday,17:18:00,No,No
date92,20236006,2023,9,Weekday,Friday,13:20:00,No,No
date93,20231206,2023,9,Weekday,Monday,18:00:00,No,No
date94,20231241,2023,9,Weekday,Friday,09:00:00,No,No
date95,20232168,2023,9,Weekday,Friday,07:59:00,No,No
date96,20233161,2023,9,Weekend,Sunday,10:00:00,No,No
date97,20233014,2023,9,Weekday,Monday,09:00:00,No,No
date98,20233059,2023,9,Weekend,Saturday,11:00:00,No,No
date99,20231129,2023,9,Weekday,Monday,11:30:00,No,No
date100,20231203,2023,9,Weekday,Monday,16:52:00,No,No
date101,20231032,2023,9,Weekday,Tuesday,11:30:00,No,No
date102,20233025,2023,9,Weekend,Saturday,12:00:00,No,No
date103,20233029,2023,9,Weekend,Sunday,17:00:00,No,No
date104,20234028,2023,9,Weekday,Thursday,12:30:00,No,No
date105,20231103,2023,9,Weekday,Friday,14:50:00,No,No
date106,20231207,2023,9,Weekday,Monday,12:10:00,No,No
date107,20232072,2023,9,Weekend,Saturday,15:38:00,No,No
date108,20233098,2023,9,Weekday,Friday,13:00:00,No,No
date109,20234020,2023,9,Weekday,Friday,07:29:00,No,No
date110,20231033,2023,9,Weekend,Sunday,16:40:00,No,No
date111,20233032,2023,9,Weekday,Friday,12:00:00,No,No
date112,20234030,2023,9,Weekday,Monday,12:19:00,No,No
date113,20234050,2023,9,Weekday,Thursday,14:10:00,No,No
date114,20234062,2023,9,Weekday,Monday,14:25:00,No,No
date115,20231090,2023,9,Weekday,Tuesday,06:50:00,No,No
date116,20232073,2023,9,Weekend,Saturday,14:20:00,No,No
date117,20231161,2023,9,Weekend,Friday,22:57:00,No,No
date118,20231006,2023,9,Weekday,Monday,15:34:00,No,No
date119,20232051,2023,9,Weekend,Friday,20:05:00,No,No
date120,20232006,2023,9,Weekday,Thursday,15:20:00,No,No
date121,20233182,2023,9,Weekend,Saturday,13:00:00,No,No
date122,20233067,2023,9,Weekday,Tuesday,11:00:00,No,No
date123,20234066,2023,9,Weekday,Tuesday,15:25:00,No,No
date124,20235103,2023,9,Weekend,Sunday,11:58:00,No,No
date125,20235103,2023,9,Weekend,Sunday,11:58:00,No,No
date126,20235023,2023,9,Weekday,Tuesday,13:55:00,No,No
date127,20235053,2023,9,Weekend,Sunday,06:25:00,No,No
date128,20231044,2023,8,Weekend,Friday,21:50:00,No,No
date129,20231044,2023,8,Weekend,Friday,21:50:00,No,No
date130,20231005,2023,8,Weekend,Saturday,18:00:00,No,No
date131,20233004,2023,8,Weekend,Saturday,02:00:00,No,No
date132,20237004,2023,8,Weekday,Thursday,18:35:00,No,No
date133,20233103,2023,8,Weekend,Saturday,05:00:00,No,No
date134,20233180,2023,8,Weekend,Sunday,18:00:00,No,No
date135,20232162,2023,8,Weekday,Wednesday,18:15:00,No,No
date136,20232145,2023,8,Weekend,Sunday,23:18:00,No,No
date137,20233196,2023,8,Weekday,Thursday,20:00:00,No,No
date138,20233201,2023,8,Weekend,Sunday,04:00:00,No,No
date139,20233205,2023,8,Weekend,Sunday,20:00:00,No,No
date140,20231059,2023,8,Weekend,Friday,22:50:00,No,No
date141,20236016,2023,8,Weekend,Saturday,23:00:00,No,No
date142,20232071,2023,8,Weekend,Sunday,18:54:00,No,No
date143,20235041,2023,8,Weekday,Thursday,23:03:00,No,No
date144,20231038,2023,8,Weekend,Friday,23:45:00,No,No
date145,20235049,2023,8,Weekend,Sunday,09:05:00,No,No
date146,20231053,2023,8,Weekend,Sunday,17:05:00,No,No
date147,20232118,2023,8,Weekend,Saturday,16:09:00,No,No
date148,20232098,2023,8,Weekday,Thursday,10:27:00,No,No
date149,20232098,2023,8,Weekday,Thursday,10:27:00,No,No
date150,20232098,2023,8,Weekday,Thursday,10:27:00,No,No
date151,20232098,2023,8,Weekday,Thursday,10:27:00,No,No
date152,20235025,2023,8,Weekend,Sunday,07:00:00,No,No
date153,20231139,2023,8,Weekend,Sunday,13:50:00,No,No
date154,20231107,2023,8,Weekday,Friday,11:50:00,No,No
date155,20231166,2023,8,Weekday,Monday,14:00:00,No,No
date156,20233186,2023,8,Weekday,Thursday,11:00:00,No,No
date157,20233145,2023,8,Weekday,Tuesday,11:00:00,No,No
date158,20232070,2023,8,Weekday,Thursday,15:32:00,No,No
date159,20232024,2023,8,Weekend,Friday,20:50:00,No,No
date160,20231209,2023,8,Weekend,Saturday,20:55:00,No,No
date161,20233131,2023,8,Weekend,Saturday,02:00:00,No,No
date162,20235052,2023,8,Weekday,Thursday,10:23:00,No,No
date163,20235006,2023,8,Weekday,Thursday,15:39:00,No,No
date164,20235069,2023,8,Weekday,Wednesday,13:10:00,No,No
date165,20233198,2023,8,Weekday,Wednesday,06:00:00,No,No
date166,20231154,2023,8,Weekend,Saturday,19:15:00,No,No
date167,20231148,2023,8,Weekday,Friday,10:40:00,No,No
date168,20231183,2023,8,Weekday,Tuesday,16:15:00,No,No
date169,20231240,2023,8,Weekend,Saturday,00:30:00,No,No
date170,20236022,2023,8,Weekend,Monday,03:23:00,No,No
date171,20233193,2023,8,Weekday,Friday,12:00:00,No,No
date172,20231036,2023,8,Weekday,Thursday,04:19:00,No,No
date173,20233117,2023,8,Weekday,Friday,09:00:00,No,No
date174,20233172,2023,8,Weekday,Monday,12:00:00,No,No
date175,20233033,2023,8,Weekday,Friday,03:00:00,No,No
date176,20231199,2023,8,Weekday,Wednesday,16:25:00,No,No
date177,20233171,2023,8,Weekday,Wednesday,10:00:00,No,No
date178,20232131,2023,8,Weekday,Thursday,23:00:00,No,No
date179,20233100,2023,8,Weekday,Thursday,02:00:00,No,No
date180,20231048,2023,8,Weekday,Thursday,05:45:00,No,No
date181,20235019,2023,8,Weekday,Wednesday,16:48:00,No,No
date182,20232111,2023,8,Weekday,Friday,06:35:00,No,No
date183,20234024,2023,8,Weekday,Tuesday,18:40:00,No,No
date184,20232022,2023,8,Weekday,Thursday,18:46:00,No,No
date185,20232022,2023,8,Weekday,Thursday,18:46:00,No,No
date186,20233125,2023,8,Weekday,Tuesday,20:00:00,No,No
date187,20233125,2023,8,Weekday,Tuesday,20:00:00,No,No
date188,20236014,2023,8,Weekday,Thursday,20:55:00,No,No
date189,20235013,2023,8,Weekday,Thursday,03:55:00,No,No
date190,20231191,2023,8,Weekday,Monday,20:20:00,No,No
date191,20232035,2023,8,Weekday,Thursday,21:30:00,No,No
date192,20235048,2023,8,Weekday,Tuesday,19:38:00,No,No
date193,20233185,2023,8,Weekday,Friday,05:00:00,No,No
date194,20232086,2023,8,Weekday,Wednesday,19:36:00,No,No
date195,20232154,2023,8,Weekday,Tuesday,19:25:00,No,No
date196,20235045,2023,8,Weekday,Wednesday,19:21:00,No,No
date197,20231123,2023,8,Weekday,Monday,06:20:00,No,No
date198,20231099,2023,8,Weekday,Wednesday,14:45:00,No,No
date199,20233074,2023,8,Weekday,Friday,11:00:00,No,No
date200,20237009,2023,8,Weekday,Thursday,18:57:00,No,No
date201,20231102,2023,8,Weekend,Saturday,17:57:00,No,No
date202,20235005,2023,8,Weekday,Thursday,09:26:00,No,No
date203,20231179,2023,8,Weekday,Friday,07:55:00,No,No
date204,20231219,2023,8,Weekend,Friday,18:14:00,No,No
date205,20233159,2023,8,Weekday,Tuesday,16:00:00,No,No
date206,20231028,2023,8,Weekday,Wednesday,05:10:00,No,No
date207,20231081,2023,8,Weekday,Thursday,20:30:00,No,No
date208,20232079,2023,8,Weekday,Wednesday,00:10:00,No,No
date209,20233039,2023,8,Weekend,Sunday,12:00:00,No,No
date210,20234079,2023,8,Weekend,Sunday,19:08:00,No,No
date211,20231111,2023,8,Weekend,Saturday,08:04:00,No,No
date212,20231041,2023,8,Weekend,Monday,05:40:00,No,No
date213,20231043,2023,8,Weekday,Wednesday,06:25:00,No,No
date214,20233164,2023,8,Weekday,Wednesday,16:00:00,No,No
date215,20233037,2023,8,Weekend,Sunday,09:00:00,No,No
date216,20234059,2023,8,Weekday,Wednesday,01:00:00,No,No
date217,20235024,2023,8,Weekend,Sunday,06:15:00,No,No
date218,20235055,2023,8,Weekend,Saturday,09:00:00,No,No
date219,20232013,2023,8,Weekday,Friday,17:17:00,No,No
date220,20233049,2023,8,Weekend,Saturday,11:00:00,No,No
date221,20233080,2023,8,Weekend,Saturday,10:00:00,No,No
date222,20235081,2023,8,Weekday,Thursday,21:22:00,No,No
date223,20232016,2023,8,Weekend,Sunday,16:30:00,No,No
date224,20233078,2023,8,Weekday,Tuesday,20:00:00,No,No
date225,20233082,2023,8,Weekday,Monday,07:00:00,No,No
date226,20234043,2023,8,Weekend,Sunday,11:50:00,No,No
date227,20234076,2023,8,Weekend,Sunday,13:00:00,No,No
date228,20231167,2023,8,Weekend,Friday,18:00:00,No,No
date229,20232089,2023,8,Weekend,Friday,21:20:00,No,No
date230,20233068,2023,8,Weekday,Monday,12:00:00,No,No
date231,20234075,2023,8,Weekday,Thursday,04:30:00,No,No
date232,20233089,2023,7,Weekend,Sunday,23:00:00,No,No
date233,20231100,2023,7,Weekend,Monday,03:15:00,No,No
date234,20231165,2023,7,Weekend,Friday,18:00:00,No,No
date235,20237010,2023,7,Weekend,Friday,21:00:00,No,No
date236,20231045,2023,7,Weekend,Saturday,02:05:00,No,No
date237,20231061,2023,7,Weekend,Saturday,20:00:00,No,No
date238,20232102,2023,7,Weekend,Sunday,13:40:00,No,No
date239,20231077,2023,7,Weekend,Sunday,20:15:00,No,No
date240,20232126,2023,7,Weekend,Sunday,22:15:00,No,No
date241,20233027,2023,7,Weekend,Sunday,11:00:00,No,No
date242,20231117,2023,7,Weekend,Saturday,12:50:00,No,No
date243,20235036,2023,7,Weekend,Sunday,17:00:00,No,No
date244,20231230,2023,7,Weekend,Sunday,13:30:00,No,No
date245,20235068,2023,7,Weekend,Saturday,17:20:00,No,No
date246,20231174,2023,7,Weekend,Sunday,12:40:00,No,No
date247,20231231,2023,7,Weekend,Saturday,17:05:00,No,No
date248,20238002,2023,7,Weekend,Sunday,16:20:00,No,No
date249,20231217,2023,7,Weekend,Saturday,12:20:00,No,No
date250,20232171,2023,7,Weekend,Friday,19:55:00,No,No
date251,20232075,2023,7,Weekday,Monday,12:10:00,No,No
date252,20233178,2023,7,Weekend,Sunday,18:00:00,No,No
date253,20233194,2023,7,Weekday,Wednesday,10:00:00,No,No
date254,20233141,2023,7,Weekday,Tuesday,08:00:00,No,No
date255,20233099,2023,7,Weekday,Tuesday,06:00:00,No,No
date256,20232039,2023,7,Weekday,Monday,10:39:00,No,No
date257,20231126,2023,7,Weekend,Saturday,19:30:00,No,No
date258,20234064,2023,7,Weekend,Saturday,18:00:00,No,No
date259,20235031,2023,7,Weekend,Saturday,00:02:00,No,No
date260,20231063,2023,7,Weekday,Tuesday,17:00:00,No,No
date261,20232030,2023,7,Weekday,Monday,13:10:00,No,No
date262,20232138,2023,7,Weekday,Wednesday,12:30:00,No,No
date263,20233101,2023,7,Weekday,Monday,17:00:00,No,No
date264,20231226,2023,7,Weekday,Friday,14:30:00,No,No
date265,20235042,2023,7,Weekday,Thursday,10:55:00,No,No
date266,20233046,2023,7,Weekday,Wednesday,10:00:00,No,No
date267,20233150,2023,7,Weekday,Friday,15:00:00,No,No
date268,20234001,2023,7,Weekday,Tuesday,14:45:00,No,No
date269,20231017,2023,7,Weekday,Friday,05:40:00,No,No
date270,20233031,2023,7,Weekday,Monday,18:00:00,No,No
date271,20233148,2023,7,Weekday,Friday,03:00:00,No,No
date272,20233148,2023,7,Weekday,Friday,03:00:00,No,No
date273,20233148,2023,7,Weekday,Friday,03:00:00,No,No
date274,20231091,2023,7,Weekday,Wednesday,18:58:00,No,No
date275,20233085,2023,7,Weekday,Tuesday,21:00:00,No,No
date276,20231159,2023,7,Weekday,Wednesday,16:30:00,No,No
date277,20232134,2023,7,Weekday,Wednesday,11:54:00,No,No
date278,20235033,2023,7,Weekday,Thursday,09:38:00,No,No
date279,20233066,2023,7,Weekday,Monday,07:00:00,No,No
date280,20233118,2023,7,Weekday,Wednesday,18:00:00,No,No
date281,20235089,2023,7,Weekday,Thursday,22:36:00,No,No
date282,20233057,2023,7,Weekday,Tuesday,18:00:00,No,No
date283,20233114,2023,7,Weekday,Wednesday,15:00:00,No,No
date284,20233002,2023,7,Weekday,Friday,12:00:00,No,No
date285,20231177,2023,7,Weekday,Tuesday,19:40:00,No,No
date286,20231105,2023,7,Weekday,Wednesday,14:40:00,No,No
date287,20231110,2023,7,Weekday,Thursday,15:45:00,No,No
date288,20234078,2023,7,Weekday,Monday,14:32:00,No,No
date289,20231144,2023,7,Weekday,Thursday,01:07:00,No,No
date290,20235058,2023,7,Weekday,Wednesday,05:30:00,No,No
date291,20232164,2023,7,Weekday,Tuesday,09:00:00,No,No
date292,20235012,2023,7,Weekday,Monday,18:26:00,No,No
date293,20231035,2023,7,Weekday,Thursday,04:30:00,No,No
date294,20232104,2023,7,Weekday,Thursday,21:45:00,No,No
date295,20232036,2023,7,Weekday,Wednesday,01:38:00,No,No
date296,20232069,2023,7,Weekday,Monday,20:40:00,No,No
date297,20233090,2023,7,Weekday,Friday,00:00:00,No,No
date298,20233119,2023,7,Weekday,Friday,10:00:00,No,No
date299,20231202,2023,7,Weekend,Saturday,13:30:00,No,No
date300,20231204,2023,7,Weekday,Monday,06:49:00,No,No
date301,20233107,2023,7,Weekday,Monday,10:00:00,No,No
date302,20233136,2023,7,Weekend,Sunday,14:00:00,No,No
date303,20234081,2023,7,Weekday,Friday,08:21:00,No,No
date304,20231031,2023,7,Weekday,Wednesday,09:40:00,No,No
date305,20231046,2023,7,Weekday,Wednesday,13:00:00,No,No
date306,20232177,2023,7,Weekend,Sunday,11:10:00,No,No
date307,20233020,2023,7,Weekday,Friday,13:00:00,No,No
date308,20233076,2023,7,Weekday,Tuesday,17:00:00,No,No
date309,20235007,2023,7,Weekend,Sunday,12:24:00,No,No
date310,20236010,2023,7,Weekend,Sunday,20:42:00,No,No
date311,20231011,2023,7,Weekend,Sunday,12:20:00,No,No
date312,20231057,2023,7,Weekday,Monday,06:00:00,No,No
date313,20231085,2023,7,Weekend,Saturday,02:30:00,No,No
date314,20234042,2023,7,Weekday,Friday,15:35:00,No,No
date315,20232043,2023,7,Weekend,Sunday,19:00:00,No,No
date316,20233012,2023,7,Weekday,Friday,16:00:00,No,No
date317,20234053,2023,7,Weekend,Sunday,11:00:00,No,No
date318,20231162,2023,7,Weekend,Sunday,13:25:00,No,No
date319,20231171,2023,7,Weekend,Saturday,19:45:00,No,No
date320,20231018,2023,7,Weekday,Tuesday,16:30:00,No,No
date321,20231004,2023,7,Weekday,Friday,14:50:00,No,No
date322,20232080,2023,7,Weekday,Wednesday,21:09:00,No,No
date323,20232094,2023,7,Weekend,Saturday,20:59:00,No,No
date324,20233053,2023,7,Weekday,Wednesday,14:00:00,No,No
date325,20234067,2023,7,Weekday,Monday,16:14:00,No,No
date326,20235057,2023,7,Weekend,Sunday,12:00:00,No,No
date327,20235079,2023,7,Weekday,Tuesday,17:58:00,No,No
date328,20231189,2023,7,Weekday,Tuesday,09:02:00,No,No
date329,20231233,2023,7,Weekday,Wednesday,13:27:00,No,No
date330,20232026,2023,7,Weekday,Tuesday,19:40:00,No,No
date331,20232046,2023,7,Weekday,Wednesday,14:03:00,No,No
date332,20232052,2023,7,Weekend,Saturday,20:13:00,No,No
date333,20233105,2023,7,Weekday,Tuesday,07:00:00,No,No
date334,20234054,2023,7,Weekday,Thursday,23:34:00,No,No
date335,20231008,2023,7,Weekday,Wednesday,09:45:00,No,No
date336,20232121,2023,7,Weekday,Monday,17:34:00,No,No
date337,20232132,2023,7,Weekday,Wednesday,16:30:00,No,No
date338,20232037,2023,7,Weekend,Saturday,06:10:00,No,No
date339,20233111,2023,7,Weekend,Saturday,15:00:00,No,No
date340,20234052,2023,7,Weekend,Saturday,14:04:00,No,No
date341,20231132,2023,7,Weekday,Wednesday,08:40:00,No,No
date342,20232133,2023,7,Weekday,Monday,18:12:00,No,No
date343,20232151,2023,7,Weekend,Sunday,16:44:00,No,No
date344,20234082,2023,7,Weekend,Saturday,08:29:00,No,No
date345,20231220,2023,6,Weekend,Sunday,00:59:00,No,No
date346,20233156,2023,6,Weekend,Friday,23:00:00,No,No
date347,20231222,2023,6,Weekend,Sunday,23:30:00,No,No
date348,20231222,2023,6,Weekend,Sunday,23:30:00,No,No
date349,20231222,2023,6,Weekend,Sunday,23:30:00,No,No
date350,20231222,2023,6,Weekend,Sunday,23:30:00,No,No
date351,20231222,2023,6,Weekend,Sunday,23:30:00,No,No
date352,20231222,2023,6,Weekend,Sunday,23:30:00,No,No
date353,20231222,2023,6,Weekend,Sunday,23:30:00,No,No
date354,20231222,2023,6,Weekend,Sunday,23:30:00,No,No
date355,20231222,2023,6,Weekend,Sunday,23:30:00,No,No
date356,20231222,2023,6,Weekend,Sunday,23:30:00,No,No
date357,20235027,2023,6,Weekend,Sunday,03:44:00,No,No
date358,20233191,2023,6,Weekday,Wednesday,23:00:00,No,No
date359,20233204,2023,6,Weekend,Saturday,18:00:00,No,No
date360,20231213,2023,6,Weekend,Saturday,19:10:00,No,No
date361,20231001,2023,6,Weekend,Saturday,08:30:00,No,No
date362,20232153,2023,6,Weekend,Saturday,07:00:00,No,No
date363,20233035,2023,6,Weekend,Monday,03:00:00,No,No
date364,20235076,2023,6,Weekend,Saturday,15:55:00,No,No
date365,20232161,2023,6,Weekday,Friday,16:55:00,No,No
date366,20232048,2023,6,Weekend,Sunday,04:20:00,No,No
date367,20231192,2023,6,Weekend,Saturday,15:53:00,No,No
date368,20233077,2023,6,Weekend,Sunday,11:00:00,No,No
date369,20231052,2023,6,Weekend,Saturday,16:13:00,No,No
date370,20231082,2023,6,Weekend,Sunday,07:10:00,No,No
date371,20231092,2023,6,Weekend,Sunday,14:55:00,No,No
date372,20231007,2023,6,Weekend,Saturday,05:48:00,No,No
date373,20235100,2023,6,Weekday,Thursday,16:08:00,No,No
date374,20233174,2023,6,Weekday,Friday,15:00:00,No,No
date375,20233051,2023,6,Weekend,Monday,05:00:00,No,No
date376,20235066,2023,6,Weekend,Friday,18:40:00,No,No
date377,20233195,2023,6,Weekday,Friday,16:00:00,No,No
date378,20236015,2023,6,Weekend,Sunday,19:30:00,No,No
date379,20233170,2023,6,Weekday,Wednesday,05:00:00,No,No
date380,20233124,2023,6,Weekday,Friday,03:00:00,No,No
date381,20231156,2023,6,Weekday,Tuesday,17:37:00,No,No
date382,20234057,2023,6,Weekday,Wednesday,03:25:00,No,No
date383,20232095,2023,6,Weekday,Thursday,07:09:00,No,No
date384,20232172,2023,6,Weekday,Wednesday,08:19:00,No,No
date385,20233041,2023,6,Weekday,Tuesday,17:00:00,No,No
date386,20233113,2023,6,Weekday,Thursday,22:00:00,No,No
date387,20231186,2023,6,Weekday,Friday,15:15:00,No,No
date388,20231200,2023,6,Weekday,Friday,06:08:00,No,No
date389,20232147,2023,6,Weekday,Monday,19:20:00,No,No
date390,20233108,2023,6,Weekday,Friday,17:00:00,No,No
date391,20235044,2023,6,Weekday,Wednesday,12:00:00,No,No
date392,20235073,2023,6,Weekday,Wednesday,22:20:00,No,No
date393,20233096,2023,6,Weekday,Monday,23:00:00,No,No
date394,20233176,2023,6,Weekday,Friday,02:00:00,No,No
date395,20231072,2023,6,Weekday,Tuesday,18:30:00,No,No
date396,20235084,2023,6,Weekday,Thursday,22:45:00,No,No
date397,20232088,2023,6,Weekday,Thursday,06:40:00,No,No
date398,20234069,2023,6,Weekday,Thursday,18:57:00,No,No
date399,20232175,2023,6,Weekday,Friday,15:06:00,No,No
date400,20232053,2023,6,Weekday,Monday,07:05:00,No,No
date401,20232125,2023,6,Weekday,Thursday,19:18:00,No,No
date402,20235056,2023,6,Weekday,Tuesday,05:13:00,No,No
date403,20237005,2023,6,Weekday,Friday,04:37:00,No,No
date404,20231190,2023,6,Weekday,Tuesday,13:40:00,No,No
date405,20231002,2023,6,Weekday,Wednesday,14:53:00,No,No
date406,20231133,2023,6,Weekend,Saturday,14:25:00,No,No
date407,20231155,2023,6,Weekend,Saturday,19:00:00,No,No
date408,20231025,2023,6,Weekday,Wednesday,17:44:00,No,No
date409,20231050,2023,6,Weekday,Thursday,15:30:00,No,No
date410,20231068,2023,6,Weekday,Thursday,16:41:00,No,No
date411,20232163,2023,6,Weekday,Thursday,22:30:00,No,No
date412,20233110,2023,6,Weekend,Saturday,14:00:00,No,No
date413,20233058,2023,6,Weekend,Sunday,23:00:00,No,No
date414,20231193,2023,6,Weekend,Sunday,08:36:00,No,No
date415,20233121,2023,6,Weekday,Monday,10:00:00,No,No
date416,20233016,2023,6,Weekend,Saturday,13:00:00,No,No
date417,20233008,2023,6,Weekday,Thursday,09:00:00,No,No
date418,20232142,2023,6,Weekday,Friday,09:45:00,No,No
date419,20233127,2023,6,Weekday,Thursday,10:00:00,No,No
date420,20235065,2023,6,Weekend,Saturday,07:00:00,No,No
date421,20236011,2023,6,Weekend,Saturday,08:39:00,No,No
date422,20231195,2023,6,Weekend,Sunday,06:55:00,No,No
date423,20231234,2023,6,Weekday,Wednesday,12:35:00,No,No
date424,20231087,2023,6,Weekday,Tuesday,16:42:00,No,No
date425,20233017,2023,6,Weekend,Sunday,15:00:00,No,No
date426,20236019,2023,6,Weekday,Thursday,11:45:00,No,No
date427,20236002,2023,6,Weekday,Friday,05:04:00,No,No
date428,20237006,2023,6,Weekend,Saturday,13:15:00,No,No
date429,20231073,2023,6,Weekday,Thursday,07:06:00,No,No
date430,20232157,2023,6,Weekend,Sunday,16:14:00,No,No
date431,20232002,2023,6,Weekday,Friday,11:30:00,No,No
date432,20231140,2023,6,Weekday,Tuesday,17:49:00,No,No
date433,20231194,2023,6,Weekend,Sunday,21:10:00,No,No
date434,20232020,2023,6,Weekday,Wednesday,16:12:00,No,No
date435,20232009,2023,6,Weekend,Saturday,09:45:00,No,No
date436,20234040,2023,6,Weekday,Friday,00:30:00,No,No
date437,20235063,2023,6,Weekday,Friday,09:17:00,No,No
date438,20235095,2023,5,Weekday,Monday,17:20:00,No,No
